model,condition,prompt_id,difficulty,n_reps,FV_mean,FV_ci95,VS_mean,VS_ci95,PA_mean,PA_ci95,EC_mean,EC_ci95,CSS_mean,iter_mean,total_tokens_mean,cost_usd_mean,css_per_1k_tokens
deepseek-v4-flash,solo,safe_negate,L1,3,1.0,0.0,1.0,0.0,0.9973,0.0054,1.0,0.0,0.9993,1.0,575.0,0.000144,1.7379
deepseek-v4-flash,solo,saturating_add,L2,3,1.0,0.0,0.2696,0.3594,0.985,0.0054,1.0,0.0,0.7771,1.0,2048.0,0.000539,0.3794
deepseek-v4-flash,solo,scalar_kalman,L4,3,0.6667,0.6533,0.5121,0.2625,0.9809,0.0027,0.0,0.0,0.6322,1.0,4066.0,0.001092,0.1555
deepseek-v4-flash,solo,schedulability,L3,3,0.0,0.0,1.0,0.0,0.9877,0.0,1.0,0.0,0.6469,1.0,1292.0,0.000316,0.5007
deepseek-v4-flash,solo,state_machine,L3,3,0.6667,0.6533,1.0,0.0,0.9836,0.0046,1.0,0.0,0.8792,1.0,1861.0,0.00048,0.4725
deepseek-v4-flash,solo,tmr_vote,L3,3,0.6667,0.6533,0.4264,0.5622,0.9863,0.0071,1.0,0.0,0.7078,1.0,4718.0,0.001277,0.15
deepseek-v4-flash,solo,xor_checksum,L2,3,0.0,0.0,1.0,0.0,0.9945,0.0071,0.2857,0.0,0.5772,1.0,1589.0,0.00041,0.3633
deepseek-v4-pro,hpema,bitfield_extract,L3,3,0.6667,0.6533,1.0,0.0,0.9973,0.0054,1.0,0.0,0.8826,3.0,78345.0,0.044667,0.0113
deepseek-v4-pro,hpema,circular_buffer,L2,3,0.6667,0.6533,0.1735,0.0467,0.9891,0.0117,1.0,0.0,0.6326,3.0,66510.0,0.037715,0.0095
deepseek-v4-pro,hpema,clamp,L1,3,1.0,0.0,0.1426,0.0311,0.9904,0.0117,0.9583,0.0817,0.7362,3.0,25608.0,0.013108,0.0287
deepseek-v4-pro,hpema,crc16_ccitt,L3,2,0.0,0.0,0.5651,0.0185,0.9877,0.0,1.0,0.0,0.5164,3.0,118922.0,0.068129,0.0043
